"","category","title","url","desc","note","url.n"
"103","language","konjugation latein","http://www.lateinseiten.de/konjugator/kon80/index.htm","","",""
"104","language","larousse francais","https://www.larousse.fr/dictionnaires/allemand-francais","","",""
"105","language","reverso.net","https://konjugator.reverso.net/konjugation-russisch-verb-%D1%83%D1%87%D0%B8%D1%82%D1%8C%D1%81%D1%8F.html","","",""
"106","scient","D-Place","https://d-place.org","Database of Places:: Language:: Culture and Environment","",""
"107","scient","wikipedia","https://www.wikipedia.de","","",""
"108","scient","pantheon","https://pantheon.world","wikipedia stats visualisation","",""
"109","scient","semantic mediawiki","https://www.semantic-mediawiki.org/wiki/Semantic_MediaWiki","","",""
"110","scient","OES","https://github.com/open-encyclopedia-system/","open encyclopedia system:: platform","https://www.open-encyclopedia-system.org/about-OES/using_oes/index.html",""
"111","scient","MINA REES DH portal","https://libguides.gc.cuny.edu/digital_tools_consult","","",""
"112","scient","SSH open marketplace","https://marketplace.sshopencloud.eu","DH portal","",""
"113","alii","riseup etherpad","https://pad.riseup.net","","",""
"114","alii","cryptpad.fr","https://cryptpad.fr","","",""
"115","alii","yopad.eu","https://yopad.eu","","",""
"116","alii","transkribus","https://readcoop.eu/transkribus","OCR","",""
"117","alii","escriptorium","https://gitlab.com/scripta/escriptorium","OCR","",""
"118","alii","kraken","https://kraken.re/main/index.html","OCR","",""
"119","alii","SoSci survey","https://www.soscisurvey.de/admin/index.php","umfragetool:: komplex","",""
"120","alii","votingo FUB","https://votingo.cedis.fu-berlin.de","umfragetool:: simple","",""
"121","alii","PINGO","https://pingo.coactum.de/ ""PINGO""","-//-","",""
"122","alii","heroku","https://www.heroku.com","","",""
"123","corpusLX","ANNIS","https://corpus-tools.org/annis/","corpus framework","",""
"124","corpusLX","CWB","https://cwb.sourceforge.io","IMS corpus workbench:: CQP... (install:: tutorials etc.)","",""
"125","corpusLX","sketch engine","https://auth.sketchengine.eu/#login","no.sketch.engine","https://nlp.fi.muni.cz/trac/noske",""
"126","corpusLX","UCSB santa barbara corpus","https://www.linguistics.ucsb.edu/research/santa-barbara-corpus","of spoken american english","",""
"127","corpusLX","NY Times Archive","https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/1v1tp5h/alma9961302613102883","institutional account registration needed","",""
"128","corpusLX","DTA","https://www.deutschestextarchiv.de","deutsches textarchiv","",""
"129","corpusLX","BNC web","http://bncweb.lancs.ac.uk/cgi-binbncXML/BNCquery.pl?theQuery=search&urlTest=yes"," ","",""
"130","corpusLX","BAS clarin LMU","https://clarin.phonetik.uni-muenchen.de/BASRepository/","archive for speech signals:: institutszugang","",""
"131","corpusLX","MoCoDa","http://mocoda.spracheinteraktion.de/?site=suche","actuel","https://db.mocoda2.de/c/home",""
"132","corpusLX","tweepy","https://docs.tweepy.org/en/stable/getting_started.html","fetch twitter data","",""
"133","corpusLX","ggle NGram viewer","https://books.google.com/ngrams/graph?content=yani&year_start=1950&year_end=2019&corpus=31&smoothing=3&direct_url=t1%3B%2Cyani%3B%2Cc0","","",""
"134","corpusLX","Corpus of Contemporary American English (COCA)","https://www.english-corpora.org/coca/ ""Corpus of Contemporary American English (COCA","","",""
"135","corpusLX","KIDKO","https://corpora.uni-hamburg.de/annis/kidko","uni hamburg kiezdeutschcorpus","",""
"136","corpusLX","MERLIN","https://www.merlin-platform.eu/#","learner corpus","",""
"137","corpusLX","CHLG","https://www.chlg.ugent.be/corpus/","corpus of historical low german. (CQL \> man","https://corpussearch.sourceforge.net/CS-manual/SearchFunctions.html",""
"138","corpusLX","RAE","http://corpus.rae.es/creanet.html ""corpus.rae.es/creanet.html""","corpus spanisch","",""
"139","corpusLX","DGD","https://dgd.ids-mannheim.de/","mannheim. corpus-datenbank für gesprochenes deutsch.","",""
"140","corpusLX","corpora international","https://app.sketchengine.eu/#corpus?tab=basic&cat=all&sketches=0&lang=&lang2=&query=&showOld=0","","",""
"141","arkkiv","netzschleuder","https://networks.skewed.de","/ konect.cc","http://konect.cc",""
"142","arkkiv","GaGa","https://www.gaga.net/pgdp/default.php",":gemeinsam an gutenberg arbeiten:","",""
"143","arkkiv","COST-ELTeC","https://distantreading.github.io/ELTeC/):: (linktree 1","https://lipogg.github.io/textanalyse-mit-r/exkurs-xml-tei-und-xpath.html#wo-findet-man-korpora-die-in-xml-tei-ausgezeichnet-sind","/ [2](https://github.com/COST-ELTeC/ELTeC",""
"144","arkkiv","lyrikline.org","https://www.lyrikline.org/de/gedichte/svalbard-paem-15118","","",""
"145","arkkiv","einakter datenbank","https://einakter.dracor.org/plays","","",""
"146","arkkiv","DraCOR","https://dracor.org","drama corpora:: multiL","",""
"147","arkkiv","de velt fun yidish","https://yiddish.haifa.ac.il/Stories.html","","",""
"148","arkkiv","yiddishbookcenter","https://www.yiddishbookcenter.org/collections","\> ocr","https://ocr.yiddishbookcenter.org/accounts/login/",""
"149","arkkiv","wikisource","https://de.wikisource.org/wiki/Index:Koller_-_Der_Zauberstein.pdf","textedition","",""
"150","arkkiv","opendata repo halle","https://opendata.uni-halle.de","","",""
"151","arkkiv","tanakh","http://www.tanach.us","","",""
"152","arkkiv","DWDS","https://dwds.de","digitales wörterbuch der deutschen sprache","",""
"153","arkkiv","invenio framework","https://invenio.readthedocs.io/en/latest/getting-started/quickstart/installation.html#create-an-invenio-instance","desperately trying to build up archive:: NO.","",""
"154","arkkiv","macht.sprache","https://www.machtsprache.de/","englisch/deutsche übersetzung prekärer begriffe","",""
"155","arkkiv","gesetze-im-internet","http://www.gesetze-im-internet.de/index.html","","",""
"156","arkkiv","denkmaldatenbank","http://www.stadtentwicklung.berlin.de/denkmal/liste%5C_karte%5C_datenbank/de/denkmaldatenbank/","berlin","",""
"157","arkkiv","bundesgesetzblätter","https://www.bgbl.de/xaver/bgbl/start.xav#__bgbl__%2F%2F*%5B%40attr_id%3D%27I_2021_16_inhaltsverz%27%5D__1618765792410","","",""
"158","arkkiv","literaturarchiv marbach.","http://www.dla-marbach.de/katalog","","",""
"159","arkkiv","archivportal D","https://www.archivportal-d.de","","",""
"160","arkkiv","landesarchiv BW","https://www.landesarchiv-bw.de/ead","","",""
"161","arkkiv","swisscollections","https://swisscollections.ch","portal swiss bib / archive","",""
"162","arkkiv","arsenal","http://films.arsenal-berlin.de/index.php","","",""
"163","arkkiv","leibniz institut","https://www.ifz-muenchen.de/das-archiv/","","",""
"164","arkkiv","aporee soundscapes","https://aporee.org/maps/","","",""
"165","arkkiv","bundesverfassungsgericht","http://www.bverfg.de/e/rs20070613%5C_1bvr178305.html","","",""
"166","arkkiv","time has fallen asleep in the afternoon sunshine","http://timehasfallenasleepintheafternoonsunshine.be","","",""
"167","arkkiv","ferring stiftung","https://ferring-stiftung.de/inselarchive/archiv/","archiv der inseln amrum und föhr.","",""
"168","arkkiv","wolfgang koeppen","http://www.koeppen-jugend.de","","",""
"169","arkkiv","CERN","http://cds.cern.ch/collection/CERN%20Archives%20Temporary?ln=de","","",""
"170","arkkiv","w.g. sebald lexikon","http://www.wgsebald.de","#73284.","",""
"171","arkkiv","kleist archiv","http://www.kleist.org/index.php","","",""
"172","arkkiv","hannah arendt critical edition","https://hannah-arendt-edition.net/home?lang=de","","",""
"173","arkkiv","sammeln","https://sammeln.hypotheses.org/category/was-sind-sammlungen","wissenschaftlicher objekte.","",""
"174","arkkiv","bundesarchiv","https://invenio.bundesarchiv.de/invenio/login.xhtml","","",""
"175","arkkiv","bundesarchivgesetz","https://www.bundesarchiv.de/DE/Navigation/Meta/Ueber-uns/Rechtsgrundlagen/Bundesarchivgesetz/bundesarchivgesetz.html","","",""
"176","arkkiv","HIDAweb","http://www.landesarchiv-berlin-bilddatenbank.de/hida4web-LAB/search?browse-all=yes","landesarchiv berlin bilddatenbank","",""
"177","arkkiv","archivar","http://www.archive.nrw.de/archivar/index.html","zeitschrift","",""
"178","arkkiv","archivschule","https://www.archivschule.de/uploads/Forschung/ArchivwissenschaftlicheTerminologie/Terminologie.html","terminologie","",""
"179","arkkiv","LEObw","https://www.leo-bw.de/themenmodul/sudwestdeutsche-archivalienkunde/archivaliengattungen/sammlungen","landeskunde entdecken online. zb: sammlungen.","",""
"180","arkkiv","AAD","https://archiv.diplo.de/arc-de/das-politische-archiv","politisches archiv des auswärtigen amts.","",""
"181","arkkiv","KALLIOPE","https://kalliope-verbund.info/de/ueber-kalliope/historie.html","nachlässe im verbund suchen.","",""
"182","arkkiv","HARVARD dataverse","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L4OAKN&version=1.0","zb. parlamentsreden","",""
"183","primaere","zotero","https://www.zotero.org/support/beta_builds","bibliography tool","",""
"184","primaere","archive.org","https://archive.org/details/diekrisisdereuro00pann/","","",""
"185","primaere","project gutenberg","https://gutenberg.org/ebooks/","","",""
"186","primaere","projekt gutenberg-DE","https://www.projekt-gutenberg.org","","",""
"187","primaere","hypotheses","https://reticular.hypotheses.org/1745","academic blogs","",""
"188","primaere","semantic scholar","https://www.semanticscholar.org","","",""
