title,url,cat,notes
"bundesverfassungsgericht","http://www.bverfg.de/e/rs20070613%5C_1bvr178305.html","arkkiv",""
"time has fallen asleep in the afternoon sunshine","http://timehasfallenasleepintheafternoonsunshine.be/","arkkiv",""
"ferring stiftung","https://ferring-stiftung.de/inselarchive/archiv/","arkkiv",""
"wolfgang koeppen","http://www.koeppen-jugend.de/","arkkiv",""
"CERN","http://cds.cern.ch/collection/CERN%20Archives%20Temporary?ln=de","arkkiv",""
"w.g. sebald lexikon","http://www.wgsebald.de/","arkkiv",""
"kleist archiv","http://www.kleist.org/index.php","arkkiv",""
"hannah arendt critical edition","https://hannah-arendt-edition.net/home?lang=de","arkkiv",""
"sammeln","https://sammeln.hypotheses.org/category/was-sind-sammlungen","arkkiv",""
"bundesarchiv","https://invenio.bundesarchiv.de/invenio/login.xhtml","arkkiv",""
"bundesarchivgesetz","https://www.bundesarchiv.de/DE/Navigation/Meta/Ueber-uns/Rechtsgrundlagen/Bundesarchivgesetz/bundesarchivgesetz.html","arkkiv",""
"HIDAweb","http://www.landesarchiv-berlin-bilddatenbank.de/hida4web-LAB/search?browse-all=yes","arkkiv",""
"archivar","http://www.archive.nrw.de/archivar/index.html","arkkiv",""
"archivschule","https://www.archivschule.de/uploads/Forschung/ArchivwissenschaftlicheTerminologie/Terminologie.html","arkkiv",""
"LEObw","https://www.leo-bw.de/themenmodul/sudwestdeutsche-archivalienkunde/archivaliengattungen/sammlungen","arkkiv",""
"AAD","https://archiv.diplo.de/arc-de/das-politische-archiv","arkkiv",""
"KALLIOPE","https://kalliope-verbund.info/de/ueber-kalliope/historie.html","arkkiv",""
"HARVARD dataverse","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L4OAKN&version=1.0","arkkiv",""
"Nietzsche Source – Home (KGA)","http://www.nietzschesource.org/","arkkiv","Friedrich Nietzsche, Digitale Kritische Gesamtausgabe Werke und Briefe auf der Grundlage der Kritischen Gesamtausgabe Werke, herausgegeben von Giorgio Colli und Mazzino Montinari, Berlin/New York, Walter de Gruyter, 1967"
"Perma.cc","https://perma.cc/","arkkiv",""
"zotero","https://www.zotero.org/support/beta_builds","primaere",""
"archive.org","https://archive.org/details/diekrisisdereuro00pann/","primaere",""
"project gutenberg","https://gutenberg.org/ebooks/","primaere",""
